cty,hwy,cyl
9,12,8
11,14,8
11,15,8
11,16,8
11,17,6
11,17,8
12,16,8
12,17,8
12,18,8
13,16,8
13,17,6
13,17,8
13,18,8
13,19,6
13,19,8
14,17,6
14,17,8
14,18,6
14,19,8
14,20,6
14,20,8
15,17,6
15,18,6
15,19,6
15,20,4
15,20,6
15,21,6
15,21,8
15,22,6
15,22,8
15,23,8
15,24,6
15,24,8
15,25,6
15,25,8
16,20,4
16,20,6
16,22,6
16,23,6
16,23,8
16,24,6
16,25,4
16,25,8
16,26,6
16,26,8
17,22,4
17,22,6
17,24,6
17,25,6
17,26,6
17,27,6
18,23,4
18,24,4
18,25,4
18,25,6
18,26,4
18,26,6
18,27,4
18,27,6
18,28,6
18,29,4
18,29,6
19,25,4
19,25,6
19,26,4
19,26,6
19,27,4
19,27,6
19,28,4
19,28,6
19,29,4
20,25,4
20,26,4
20,27,4
20,28,4
20,28,5
20,29,5
20,31,4
21,26,4
21,27,4
21,29,4
21,29,5
21,30,4
21,31,4
22,29,4
22,30,4
22,31,4
23,29,4
23,31,4
23,32,4
24,30,4
24,32,4
24,33,4
24,36,4
25,32,4
25,36,4
26,34,4
26,35,4
28,33,4
28,37,4
29,41,4
33,44,4
35,44,4
